time,steering_pid_out,real_steering,target_steering,trailer_value
483613,0.004289,6.930000,5.016269,-6.461539:43
483633,0.003832,6.930000,5.173405,-6.560440:43
483672,0.004175,6.930000,5.016269,-6.461539:43
483712,0.004077,6.885000,5.016269,-6.461539:43
483732,0.004077,6.88500,5.121027,-6.527472:43
483752,0.003848,6.88500,5.121027,-6.57472:43
483772,0.003848,6.885000,5.016269,-6.461539:43
483831,0.003506,6.885000,5.278163,-6.626374:43
483871,0.003489,6.930000,5.33052,-6.659340:43
483891,0.003489,6.930000,5.278163,-6.626374:43
48311,0.003604,6.930000,5.278163,-6.626374:43
483931,0.00360,6.885000,5.540057,-6.791209:43
483951,0.002934,6.885000,5.40057,-6.71209:43
483989,0.003261,6.930000,5.435300,-6.725275:43
484029,0.003147,6.930000,5.487679,-6.758242:43
484089,0.003147,6.930000,5.278163,-6.626374:43
484109,0.003718,6.930000,5.225784,-6.593407:43
484147,0.003506,6.885000,5.278163,-6.62634:43
484187,0.003734,6.885000,5.17305,-6.560440:43
484207,0.003734,6.885000,5.225784,-6.59347:43
48427,0.003734,6.885000,5.173405,-6.56040:43
484247,0.003734,6.885000,5.121027,-6.52742:43
484267,0.003848,6.885000,5.121027,-6.527472:43
484306,0.003718,6.930000,5.225784,-6.593407:43
484326,0.00718,6.930000,5.278163,-6.626374:43
484346,0.003489,6.930000,5.330542,-6.659340:43
484366,0.003489,6.885000,5.382921,-6.692308:43
484386,0.003277,6.885000,5.382921,-6.692308:43
484426,0.003391,6.885000,5.330542,-6.659340:43
48464,0.003506,6.885000,5.278163,-6.626374:43
484484,0.003506,6.885000,5.330542,-6.659340:43
484504,0.003391,6.885000,5.330542,-6.659340:43
484544,0.003277,6.885000,5.382921,-6.692308:43
484564,0.03277,6.885000,5.435300,-6.72527:43
484584,0.002934,6.885000,5.540057,-6.791209:43
484622,0.003032,6.930000,5.540057,-6.791209:43
484642,0.003032,6.930000,5.592436,-6.824176:43
484662,0.003147,6.930000,5.487679,-6.75842:43
484682,0.003147,6.930000,5.435300,-6.725275:43
484702,0.003261,6.930000,5.435300,-6.725275:43
484743,0.003375,6.930000,5.382921,-6.692308:43
484781,0.003277,6.88500,5.382921,-6.692308:43
484801,0.003277,6.885000,5.435300,-6.725275:43
484821,0.002934,6.885000,5.540057,-6.79109:43
484861,0.002820,6.885000,5.592436,-6.824176:43
484881,0.002820,6.885000,5.697195,-6890110:43
484901,0.00270,6.885000,5.644815,-6.857143:43
484940,0.00591,6.885000,5.697195,-6.890110:43
484980,0.002706,6.885000,5.644815,-6.857143:43
485000,0.002706,6.885000,5.697195,-6.890110:43
485020,0.002706,6.885000,5.644815,-6.857143:43
485060,0.002591,6.85000,5.697195,-6.890110:43
485098,0.002706,6.885000,5.64815,-6.85714343
4851380.002591,6.885000,5.69715,-6.890110:43
485158,0.002591,6.885000,5.644815,-6.857143:43
485178,0.002379,6.840000,5.749573,-6.923077:43
485218,0.002591,6.88500,5.697195,-6.890110:433
485257,0.00247,6.88500,5.749573,-6.923077:43
485277,0.002477,6.930000,5.749573,-6.923077:43
485297,0.002690,6.930000,5.697195,-6.890110:4
485317,0.2690,6.93000,5.801952,-.956044:43
485337,0.002706,6.885000,5.644815,-6.857143:43
485357,0.002706,6.930000,5.644815,-6.857143:43
485377,0.002575,6.930000,5.74957,-6.923077:43
485435,0.002575,6.885000,5.801952,-6.956044:43
485455,0.002249,6.885000,5.854331,-6.989011:43
485495,0.00190,6.885000,.011468,-7.087912:43
485515,0.001906,6.885000,6.063846,-7.120879:43
485535,0.001791,6.885000,6.063846,-7.120879:43
485574,0.001906,6.885000,6.011468,-7.087912:43
485594,0.001906,6.885000,6.063846,-7.120879:3
485614,0.001791,6.885000,6.063846,-7.120879:43
485634,0.001791,6.885000,6.116226,-7.15346:43
485654,0.001791,6.885000,6.063846,-7.120879:43
485674,0.001791,6.885000,6.011468,-7.087912:43
485694,0.001791,6.885000,6.063846,-7.120879:43
485733,0.001906,6.885000,6.011468,-7.087912:4
485813,0.001791,6.885000,6.063846,-7.120879:43
485833,0.001791,6.930000,6.011468,-7.087912:43
485853,0.001890,6930000,6.063846,-7.12089:43
485891,0.001661,.93000,6.168604-7.186813:43
485931,0.001547,6.930000,6.220984,-7.219780:43
485951,0.0015476.930000,6.116226,-7.153846:43
485972,0.001775,6.930000,6.16226,-7.153846:43
485992,0.001775,6.930000,6.168604,-7.186813:43
486012,0.0017,6.930000,6.116226,-7.153846:43
486050,0.002004,6.930000,6.011468,-7.087912:43
486071,0.02004,6.885000,6.063846,-7.120879:43
486091,0.001677,6.88000,6.116226,-7.153846:43
486131,0.001775,6.930000,6.116226,-7.1538443
486151,0001775,.930000,6.063846,-7.120879:43
486171,0.001775,6.930000,6.11622,-7.153846:43
486210,0.001563,6.885000,6.168604,-7.186813:43
486230,0.001563,.930000,6.116226,-7.153846:43
486250,0.001775,6.930000,6.116226,-7.153846:43
48620,0.001661,6.930000,6.168604,-7.186813:43
486369,0.001666.975000,6.168604,-7.186813:43
486389,0.001661,6.930000,6.116226,-7.153846:43
486409,0.001775,6.930000,6.116226,-7.153846:43
486429,0.001775,6.93000,6.220984,-7.219780:43
486449,0.001547,6.930000,6.220984,-7.219780:43
486489,0.001433,6.930000,6.27363,-7.252748:43
486548,0.001433,6.885000,6.273363,-7.252748:43
486568,0.001204,6.930000,6.378121,-7.318682:43
486588,0.00120,6.930000,6.325741,-7.285714:43
486608,0.001318,6.930000,6.325741,-7.285714:43
486648,0.001433,6.930000,6.273363,-7.252748:43
486727,0.001547,6.930000,6.220984,-7.219780:4
486747,0.001547,6.885000,6.220984,-7.219780:43
486767,001563,6.885000,6.168604,-7.186813:43
486787,0.001563,6.885000,6.220984,-7.219780:43
4868070.001563,6.85000,6.168604,-7.186813:43
486846,0.0013346.885000,6.273363,-7.252748:43
486887,0.001220,6.885000,6.325741,-7.285714:43
486907,0.001220,6.930000,6.430499,-7.351648:43
486927,0.000861,6.930000,6.535256,-7.417582:43
487005,0.000763,6.930000,6.535256,-7.417582:3
487026,0.000763,6.885000,6.482877,-7.384615:43
487046,0.000877,6.885000,6.482877,-7.38461543
487086,0.001220,6.885000,6.325741,-7.285714:43
487164,0.001318,6.930000,6.325741,-7.285714:43
487184,0.00138,6.930000,6.430499,-7.351648:43
487204,0.001090,6.930000,6.430499,-7.351648:43
487224,0.001090,6.93000,6.378121,-7.318682:43
487244,0.000975,6.93000,6.482877,-7.384615:
487264,0.000975,6.930000,6.535256,-7.417582:43
487284,0.000747,6.930000,6.58763-7.450550:43
487323,0000633,6.930000,6.640015,-7.483516:43
487343,0.000633,6.930000,6.587636,-7.450550:43
487363,0.000633,6.930000,6.640015,-7.48516:43
487403,0.000861,6.930000,6.35256,-7.417582:43
487443,0.000877,6.885000,6.482877,-7.384615:43
487482,0.0004366.840000,6.640015,-7.483516:43
487502,0.000436,6.840000,6.587636,-7.450550:43
487522,0.000436,6.840000,6.640015,-7.483516:43
487542,0.000436,6.840000,6.797152,-7.582417:43
487562,0.000192,6.885000,6.79712,-7.582417:43
487582,0.000192,6.885000,6.901910,-7.64832:43
487602,0.000364,6.840000,7.006667,-7.714285:44
487641,-0.000037,6.885000,6.901910,-7.648352:44
487681,-0.000053,6.930000,6.954288,-7.681319:44
487721,-0.000167,6.930000,7.006667,-7.714285:44
48776-0.000282,6.930000,7.05047,-7.747253:44
487800,-0.000151,6.885000,6.954288,-7.681319:44
487820,-0.000151,6.885000,6.901910,-7.648352:44
487840,-0.000053,6.930000,6.954288,-7.681319:44
487860,-0.000053,6.930000,6.901910-7.648352:44
487880,0.000306,6.885000,6.744773,-7.549451:43
487900,0.000306,630000,6.797152,-7.582417:43
487920,0.000290,6.930000,6.797152,-7.582417:43
487958,0.000061,6.930000,6.901910,-7.648352:43
487998,-0.00053,6.930000,6.954288,-7.681319:44
488018,-0.000053,6.930000,7.006667,-7.714285:44
488038,-0.000396,6.930000,7.111425,-7.78022044
488078,-0.000282,6.930000,7.59047,-7.747253:44
488117,-0.000624,6.930000,7.216184,-7.846154:44
488137,-0.000624,6.885000,7.163804,-7.813187:4
488157,-0.000723,6.885000,7.216184,-7.846154:44
488177,-0.000723,6.885000,7.320941,-7.912088:44
488197,-0.000853,630000,7.320941,-7.912088:44
488217,-0.000853,6.930000,7.373321,-7.945055:44
488237,-0.000739,6.930000,7.268562,-7.879121:44
488275,-0.000951,6.885000,7.320941,-7.912088:44
488316,-0.000837,6.885000,7.268562,-7.879121:44
488435,-0.000853,.930000,7.320941,-7.912088:44
488455,-0.000853,6.930000,7.268562,-7.879121:44
488475,-0.000853,6.930000,7.320941,-7.912088:44
488495,-0.000853,6.975000,7.3209,-7.912088:44
488515,-0.000755,6.975000,7.320941,-7.912088:44
488535,-0.000755,6.930000,7.216184,-7.846154:44
488555,-0.000624,6.930000,7.216184,-7.846154:44
488594,-.000853,6.93000,7.320941,-7.912088:44
488614,0.000853,6.90000,7.373321,-7.945055:44
488634,-0.001196,6.930000,7.478077,-8.010989:44
488654,-0.001196,6.930000,7.530456,-8.043956:44
488674,-0.001408,6.885000,7.530456,-8.043956:44
488694,-0.001408,6.885000,7.582836,-8.076923:44
488714-0.001522,6.885000,7.582836,-8.076923:44
488754,-0.001408,6.885000,7.530456,-8.043956:44
488774,-0.001408,6.885000,7.582836,-.076923:44
488794,-0.001294,6.88500,7.478077,-8.010989:44
488814,-0.001294,6.885000,7.425699,-7.978022:44
488834,-0.001196,6.930000,7.478077,-8.010989:44
488914,-0.001294,6.885000,7.478077,-8.010989:44
488934,-0.001294,6.885000,7.530456,-8.043956:44
488954,-0.001310,6.930000,7.530456,-8.043956:44
488974,-0.001310,6.930000,7.582836,-8.076923:44
488994,-0.001424,6.930000,7.582836,-8.076923:44
489074,-0.001310,6.930000,7.530456,-8.043956:44
489094,-0.00310,6.930000,7.582836,-8.076923:44
489114,-0.001767,6.930000,7.739972,-8.175824:44
489134,-0.001767,6.885000,7.79351,-8.208791:44
489154,-0.001980,6.885000,7.792351,-8.208791:44
489174,-0.001980,6.885000,7.844729,-8.241758:44
489194,-0.002551,6.885000,8.054246,-8.37367:44
489232,-0.002437,6.885000,8.001866,-8.340659:44
489252,-0.002437,6.885000,7.949488,-8.307693:44
489272,-0.002322,6.885000,7.949488,-8.307693:44
489312,-0.002224,6.930000,7.949488,-8.307693:44
489332,-0.002224,6.930000,8.001866,-8.340659:44
489352,-0.002453,6.930000,.054246,-8.373627:44
489391,-0.00243,6.885000,8.001866,-8.340659:44
489431,-0.002551,6.885000,8.054246,-8.373627:4
489471,-0.002665,6.885000,8.106626,-8.406593:44
489491,-0.002665,6.885000,8.054246,-8.373627:44
489511,-0.002437,6.885000,8.001866,-8.340659:44
489550,-0.002779,6.885000,8.159002,-8.439560:44
489570,-0.002779,6.885000,8.211383,-8.472528:44
489590,-0.002796,6.930000,8.21183,-8.472528:44
489630,-0.002910,6.930000,8.263762,-8.505494:44
489670,-0.003237,6.885000,8.368520,-8.571429:44
489709,-0.002910,6.930000,8.263762,-8.505494:44
489749,-0.003024,6.30000,8.316140,-8.538462:44
489769,-0.003024,6.885000,8.368520,-8.571429:44
489789,-0.003138,6.930000,8.368520,-8.571429:44
489868,-0.003122,6.88500,8.316140,-8.538462:44
489928,-0.003122,6.885000,8.420897,-8.604396:44
489948,-0.003351,6.885000,8.420897,-8.604396:44
489968-0.003351,6.885000,8.473276,-8.637362:44
489988,-0.003694,6.885000,8.578035,-8.703297:44
490027,-0.004036,6.885000,8.735171,.802198:44
490087,-0.004036,6.885000,8.682793,-8.769230:44
490107,-0.004151,6.885000,8.787551,-8.835165:44
490127,-0.004151,6.885000,8.735171,-8.80198:44
490147,-0.0040,6.885000,8.735171,-8.802198:44
490186,-0.003922,6.885000,8.682793,-8.769230:44
490226,-0.004036,6.885000,8.735171,-8.802198:44
490266,-0.003922,6.885000,8.682793,-8.769230:44
490286,-0.003922,6.885000,8.839929,-8.868132:44
490306,-0.004265,6.885000,8.839929,-8.868132:44
490364,-0.004379,6.930000,8.944687,-8.934066:44
490384,-0.004738,6.930000,9.101825,-9.032967:44
490404,-0.004738,6.885000,9.206582,-9.098902:44
490424,-0.005179,6.885000,9.258961,-9.131868:44
490444,-0.005179,6.885000,9.311339,-9.164835:44
490464,-0.005293,6.885000,9.31139,-9.164835:44
490502,-0.005424,6.930000,9.416097,-9.230769:44
490522,-0.005424,6.885000,9.416097,-9.230769:44
490542,-0.005195,6.930000,9.31133-9.164835:44
490562,-0.005195,6.930000,9.258961,-9.131868:44
490582,-0.004738,6.930000,9.101825,-9.03297:44
490602,-0.004738,6.930000,.258961,-9.131868:44
